ID_HISTORIQUE,DATE_ACTION,ACTION,T_TABLE,ID_ENREGISTREMENT,LOGIN_USER,IP_PC,NOM_PC,REF_CTR_HIST,REF_IND_HIST,ABREV_ROLE_HIST,ID_HISTORIQUEE
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12424,cyrine,10.2.115.20,10.2.115.20,41,29,Creation Encaissement 9406841,830
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12425,cyrine,10.2.115.20,10.2.115.20,41,29,Creation Encaissement 9406842,831
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12426,cyrine,10.2.115.20,10.2.115.20,41,29,Creation Encaissement 9406843,832
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12427,cyrine,10.2.115.20,10.2.115.20,42,31,Creation Encaissement 008599071340,833
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12428,cyrine,10.2.115.20,10.2.115.20,42,31,Creation Encaissement 008599071437,834
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12429,cyrine,10.2.115.20,10.2.115.20,42,31,Creation Encaissement 008599071534,835
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12430,cyrine,10.2.115.20,10.2.115.20,42,31,Creation Encaissement 008599071243,836
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12431,cyrine,10.2.115.20,10.2.115.20,42,32,Creation Encaissement 008615365594,837
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12432,cyrine,10.2.115.20,10.2.115.20,42,32,Creation Encaissement 008615365691,838
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12433,cyrine,10.2.115.20,10.2.115.20,42,32,Creation Encaissement 008615365788,839
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12434,cyrine,10.2.115.20,10.2.115.20,42,32,Creation Encaissement 008615365885,840
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11904,cyrine,10.2.115.20,10.2.115.20,42,9,Numérisation_des_documents008615365885,841
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11903,cyrine,10.2.115.20,10.2.115.20,42,9,Numérisation_des_documents008615365788,842
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11902,cyrine,10.2.115.20,10.2.115.20,42,9,Numérisation_des_documents008615365691,843
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11901,cyrine,10.2.115.20,10.2.115.20,42,9,Numérisation_des_documents008615365594,844
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11900,cyrine,10.2.115.20,10.2.115.20,42,9,Numérisation_des_documents008599071243,845
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11899,cyrine,10.2.115.20,10.2.115.20,42,9,Numérisation_des_documents008599071534,846
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11898,cyrine,10.2.115.20,10.2.115.20,42,9,Numérisation_des_documents008599071437,847
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11897,cyrine,10.2.115.20,10.2.115.20,42,9,Numérisation_des_documents008599071340,848
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11896,cyrine,10.2.115.20,10.2.115.20,41,8,Numérisation_des_documents9406843,849
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11895,cyrine,10.2.115.20,10.2.115.20,41,8,Numérisation_des_documents9406842,850
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11894,cyrine,10.2.115.20,10.2.115.20,41,8,Numérisation_des_documents9406841,851
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11893,cyrine,10.2.115.20,10.2.115.20,41,8,Numérisation_des_documents9406840,852
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11892,cyrine,10.2.115.20,10.2.115.20,41,8,Numérisation_des_documents9406839,853
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11891,cyrine,10.2.115.20,10.2.115.20,41,8,Numérisation_des_documents9406838,854
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11890,cyrine,10.2.115.20,10.2.115.20,68,456,Numérisation_des_documents008633269272,855
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11889,cyrine,10.2.115.20,10.2.115.20,68,456,Numérisation_des_documents40,856
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11888,cyrine,10.2.115.20,10.2.115.20,42,9,Numérisation_des_documents238,857
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11887,cyrine,10.2.115.20,10.2.115.20,41,8,Numérisation_des_documents211,858
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11885,cyrine,10.2.115.20,10.2.115.20,98,824,Numérisation_des_documents4505114,859
0,2020-01-27,Numérisation_des_documents,T_DOC_GED,11883,cyrine,10.2.115.20,10.2.115.20,48,202,Numérisation_des_documents008599644513,860
